snapshot_id,extracted_at_utc,guild_name,world,character_name,guild_rank,vocation,level,status,joined,created_at
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Ulility,Black,Royal Paladin,45,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Soza,Black,Elite Knight,128,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Royalsito,Black,Paladin,78,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Rasisco el Fuerte,Black,Elite Knight,119,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Rasisco,Black,Royal Paladin,167,online,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Otro Jugador,Black,Sorcerer,133,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Nekiluz,Black,Royal Paladin,162,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Nahual Slayer,Black,Elite Knight,79,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Mante Kosa,Black,Master Sorcerer,90,online,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Legolas ligerus,Black,Paladin,65,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Excalibur seiber,Black,Elite Knight,122,online,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Enda Abader,Black,Exalted Monk,144,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Eldilvert Shantus,Black,Exalted Monk,163,online,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,El Noa Noa,Black,Royal Paladin,28,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,El Chacorta,Black,Paladin,81,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Dex Druid,Black,Elder Druid,116,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Deja Glan,Black,Paladin,102,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Dead Silenciosa,Black,Elite Knight,116,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Dark Izis,Black,Royal Paladin,188,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Coronel Esperanca,Black,Royal Paladin,217,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Capi Yami,Black,Master Sorcerer,104,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Azriana Klon,Black,Royal Paladin,70,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Athormentado,Black,Elite Knight,168,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Alan Genial,Black,Elite Knight,108,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Zhrooms,Black Soldier,Exalted Monk,313,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Wezglowie,Black Soldier,Elite Knight,204,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Vizaviza,Black Soldier,Royal Paladin,80,online,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Trishula Ice Breaker,Black Soldier,Royal Paladin,148,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Tano Mira,Black Soldier,Knight,74,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Tankemzs,Black Soldier,Elite Knight,455,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Sukeno,Black Soldier,Royal Paladin,160,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Sirius Juan,Black Soldier,Master Sorcerer,41,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Shottem,Black Soldier,Royal Paladin,96,online,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Psyone,Black Soldier,Royal Paladin,365,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Pakatela,Black Soldier,Royal Paladin,190,offline,,2026-05-16 23:31:44.67945+00
6651b784-e44e-4bb2-8b20-493c6480e01f,2026-05-16 23:31:42.530955+00,Black Clover,Lobera,Ojo de Churea,Black Soldier,Master Sorcerer,156,online,,2026-05-16 23:31:44.67945+00
